Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.036,2.517,2.572,1.637,2.896,2.692,2.34,2.816,1.87,3.405,4.641,5.766,5.711,6.465,5.798,5.039,7.281000000000001,7.756,7.081,7.75,8.235,7.066,7.459000000000001,7.961,7.453,7.106,6.177,7.059,5.821,7.566,7.869,6.873,7.721,7.254,7.394,8.183,7.21,6.4,6.402,6.207,5.514,7.039000000000001,8.285,6.088,6.872,8.442,10.011,10.16981572218751,7.469243219553116
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338,5.780399999999999,4.69
Belgium,0.0,0.006,0.094,0.061,0.022,0.057,0.0,0.011,0.076,0.148,6.784,10.036,11.939,12.513,11.407,12.549,12.859,15.664,24.106,27.743,34.601,39.394,41.967,43.102,41.217,42.722,42.861,43.456,41.927,40.624,41.356,43.336,47.408,46.165,49.017,48.157,46.349,47.36,47.379,47.312,47.595,46.645,48.227,45.568,47.222,47.944,48.234,40.295,42.644,33.703,26.103,43.523,42.22680000000015,28.597,43.52360000000015,34.43470000000012,50.32620000000018,43.73209756033499
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.643,3.381,0.144,0.973,0.608,1.83,2.237,1.442,1.759,0.442,0.055,2.519,2.427,3.169,3.265,3.977,6.046,14.279,13.836,13.358,11.611,9.855,13.7541,12.34976,13.96858,12.957,14.5231558,15.659376,16.0384,15.44969,15.37846248,14.73415264,15.86434366707732,15.739196437943,15.6738870220224,16.12882430221726,14.052598169916,14.704587598307,14.5590132127608
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.928,2.554,4.989,5.884,5.91,6.18,6.165,9.119,10.746,12.318,12.735,13.131,12.07,12.436,16.03,14.566,14.665,13.184,11.552,13.973,15.335,17.261,18.082,17.751,16.899,15.814,18.178,19.553,20.222,17.28,16.815,18.653,19.493,14.643,15.765,15.256,15.249,16.314,15.785,14.171,15.867,15.383,15.776,15.545499,16.125281,16.555288,16.625765,16.486894,16.44914891803509
Canada,0.128,0.172,0.153,0.918,0.529,1.037,4.267,7.211,15.254,14.696,12.57,17.416,26.342,31.202,35.271,38.032,40.067,38.337,48.61,52.21,60.521,71.267,77.261,82.867,79.31684210526315,72.46,84.33894736842105,80.0221052631579,93.28421052631579,107.0842105263158,97.16421052631578,92.12210526315789,81.95473684210526,70.99263157894737,72.98,72.29368421052631,76.16210526315788,75.0,74.37157894736842,89.75789473684209,91.39989052631577,97.28264631578946,92.83203263157894,95.35264736842105,89.46503052631577,90.02798736842105,92.93812210526316,94.2025147368421,102.7204536842105,106.5345336842105,101.1008347368421,100.7234863157895,100.59476,100.0311536842105,100.4939536842105,97.5125989473684,91.98487578947368,86.6419495242999
Central America,0.0,0.0,0.0,0.0,0.051,0.045,0.042,0.073,0.046,0.026,0.025,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.604,14.756,12.833,14.338,14.418,14.1,14.949,16.737,17.472,25.127,43.342,50.469,53.088,54.843,62.13,68.394,70.05037999999999,74.74208,87.2,98.31839000000001,111.50078,133.21756,171.37818,213.17846,248.1,295.0,348.7,366.2,407.5,417.8
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.239,2.397,6.149,10.701,11.816,12.418,12.585,12.132,12.25,12.627,12.977,12.23,12.85,12.494,13.178,13.357,13.59,14.7493,18.7382,25.8719,26.3247,24.7276,26.0465,26.1721,26.551,27.2078,27.9882,28.2826,30.3242,30.7453,30.32487336,26.84084765,24.10422215,28.33957704000001,29.92131117,30.24620884,30.04327977,30.73118038,31.02181044
Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.642105263157895,3.241052631578947,6.694736842105264,6.973684210526315,14.56315789473684,16.65894736842105,17.59684210526316,18.73578947368421,18.92631578947368,18.94526315789474,19.50947368421052,19.4178947368421,18.95789473684211,19.216,19.511,19.26,19.928,19.427,19.216,19.476,20.894,21.853,22.974,22.479,22.773,22.295,22.731,22.716,23.271,22.906,23.423,22.958,23.526,22.8,23.187,22.987,23.606,23.58,23.245,23.203,22.477,22.793,23.87,23.291,23.598,25.2409782083398
