Country,Year Built,OCC ($/kW)
USA,1967,700
USA,1967,750
USA,1967,750
USA,1967,800
USA,1967,800
USA,1967,900
USA,1968,800
USA,1968,900
USA,1969,900
India,1965,1000
USA,1966,1050
USA,1966,1000
USA,1966,1000
USA,1967,1000
USA,1967,1050
India,1968,1000
USA,1968,950
USA,1967,1000
USA,1968,1000
USA,1968,1200
W. Germany,1964,1650
USA,1964,1400
USA,1964,1500
USA,1965,1300
W. Germany,1965,1500
W. Germany,1965,1400
USA,1966,1200
USA,1966,1200
India,1966,1350
W. Germany,1965,3500
USA,1966,1200
USA,1967,1200
USA,1967,1300
USA,1968,1300
USA,1968,1350
USA,1969,1350
USA,1967,1500
W. Germany,1966,1500
USA,1967,1500
USA,1967,1500
USA,1967,1550
USA,1967,1650
USA,1968,1700
USA,1969,1700
USA,1968,1800
Japan,1967,1950
Japan,1967,1950
Japan,1967,1900
Japan,1969,1500
USA,1967,1500
USA,1969,1600
USA,1970,1700
USA,1970,1500
USA,1970,1500
W. Germany,1970,1800
India,1971,800
India,1973,800
W. Germany,1973,1000
Canada,1966,2700
Canada,1967,2700
Canada,1971,2400
Canada,1972,2400
Canada,1973,2400
Canada,1974,2400
Canada,1975,2700
Canada,1976,2700
Canada,1976,2700
Canada,1977,2700
Canada,1977,2600
Canada,1978,2600
Canada,1988,2600
Canada,1989,2600
Canada,1974,3500
Canada,1975,3500
Canada,1983,3900
Canada,1984,3900
Canada,1985,3900
Canada,1986,3900
Japan,1966,3900
Japan,1967,3050
Japan,1966,2300
Japan,1970,1700
Japan,1970,1800
Japan,1971,1300
Japan,1971,1300
Japan,1973,1700
Japan,1971,1700
Japan,1973,1600
Japan,1973,1500
Canada,1974,1400
Canada,1974,1350
Japan,1973,2100
Japan,1974,2450
Japan,1974,2050
Japan,1974,2100
Japan,1974,2000
Japan,1976,3800
Japan,1976,3850
Japan,1978,1977
Japan,1978,2950
Japan,1982,2800
Japan,1982,3000
Japan,1984,3000
Japan,1987,2250
Japan,1986,3000
Japan,1980,3700
Japan,1982,3300
Japan,1981,3700
Japan,1984,3650
Japan,1985,3500
Japan,1985,3400
Japan,1984,4100
Japan,1985,4100
Japan,1981,4800
Japan,1981,5000
Japan,1985,5500
Japan,1989,5700
Japan,1987,4800
Japan,2001,4300
Japan,2005,3850
Japan,2003,3050
Japan,2001,2950
Japan,1987,4200
Japan,1988,3500
Japan,1989,3000
Japan,1990,3100
Japan,1990,3500
Japan,1991,3650
Japan,1992,3250
Japan,1994,3150
Japan,1994,2800
Japan,1993,2700
W. Germany,1975,3900
India,1977,2000
India,1978,2000
India,1985,2050
India,1985,2050
India,1989,2350
India,1990,2350
India,1990,2200
India,1991,2200
India,2000,1900
India,2000,1900
India,2003,2000
India,2003,2000
India,2003,2000
India,2004,1900
India,2004,1900
S Korea,1973,3500
S Korea,1977,3950
S Korea,1977,3900
S Korea,1979,2250
S Korea,1980,2250
S Korea,1982,2700
S Korea,1983,2700
S Korea,1984,2700
S Korea,1984,2700
S Korea,1990,2300
S Korea,1990,2300
S Korea,1993,2900
S Korea,1995,2900
S Korea,1995,2900
S Korea,1994,2050
S Korea,1994,2050
S Korea,1997,1700
S Korea,1997,1700
S Korea,2000,1950
S Korea,2001,1950
S Korea,2007,2000
S Korea,2008,2000
S Korea,2008,2000
S Korea,2009,2000
S Korea,2009,1800
W. Germany,1983,4000
W. Germany,1983,3300
W. Germany,1983,3300
W. Germany,1976,2900
W. Germany,1978,2900
W. Germany,1977,2700
W. Germany,1978,2700
W. Germany,1974,2050
W. Germany,1975,2050
W. Germany,1970,1900
W. Germany,1971,1600
W. Germany,1973,1400
W. Germany,1974,1400
W. Germany,1974,1250
France,1973,1300
France,1973,1300
France,1974,1350
France,1974,1350
France,1975,1350
France,1975,1200
France,1975,1300
France,1975,1300
France,1976,1300
France,1975,1800
France,1975,1850
France,1975,1900
France,1976,1700
France,1976,1700
France,1977,1800
France,1977,1850
France,1976,2300
France,1977,2300
France,1977,1700
France,1978,1900
France,1978,1900
France,1978,1700
France,1978,1700
France,1979,1600
France,1979,1600
France,1979,1450
France,1979,1450
France,1992,1900
France,1988,1900
France,1984,2500
France,1986,2500
France,1979,1950
France,1979,2050
France,1980,1950
France,1980,2050
France,1980,1700
France,1980,1700
France,1980,1700
France,1982,1700
France,1982,1800
France,1983,1800
France,1983,1600
France,1985,1600
France,1983,1900
France,1983,1950
France,1985,1900
France,1985,1950
USA,1974,10900
USA,1976,8700
USA,1976,8200
USA,1974,8050
USA,1976,7850
USA,1975,7300
USA,1977,7400
USA,1974,7000
USA,1975,6500
USA,1973,6050
USA,1977,6000
USA,1978,5800
USA,1975,5600
USA,1974,5500
USA,1968,2200
USA,1965,2500
USA,1979,2300
USA,1966,4100
USA,1971,4200
USA,1976,5200
USA,1976,5100
USA,1976,5000
USA,1974,4950
USA,1975,4950
USA,1975,4700
USA,1975,4650
USA,1976,4300
USA,1977,4100
USA,1974,3950
USA,1974,3850
USA,1977,3600
USA,1972,1700
USA,1972,1700
USA,1973,1800
USA,1971,1950
USA,1970,2050
USA,1971,2050
USA,1971,2150
USA,1970,2400
USA,1970,2500
USA,1975,2500
USA,1974,2600
USA,1974,3300
USA,1975,3400
USA,1976,3300
USA,1975,3200
USA,1976,3500
USA,1977,3600
